stkcd,stknme,ret
000833.SZ,粤桂股份,0.00933125972006229
000836.SZ,富通信息,0.0035087719298244804
000837.SZ,秦川机床,-0.0007698229407236299
000838.SZ,财信发展,0.009803921568627359
000839.SZ,ST国安,0.00858369098712446
000848.SZ,承德露露,0.0177975528364849
000850.SZ,华茂股份,0.0997375328083991
000851.SZ,高鸿股份,0.009433962264150891
000852.SZ,石化机械,0.00392670157068065
000856.SZ,冀东装备,0.0022805017103763
000858.SZ,五粮液,0.0152415107026784
000859.SZ,国风新材,0.00189035916824203
000860.SZ,顺鑫农业,0.0190441969098097
000861.SZ,海印股份,0.09999999999999981
000862.SZ,银星能源,0.00833333333333321
000863.SZ,三湘印象,-0.0023980815347720897
000868.SZ,安凯客车,0.0322003577817532
000869.SZ,张裕A,0.021329987452948604
000875.SZ,吉电股份,0.0056818181818181004
000876.SZ,新希望,0.00663349917081261
000877.SZ,天山股份,0.0116822429906541
000878.SZ,云南铜业,0.017286084701815002
000880.SZ,潍柴重机,0.0153256704980845
000881.SZ,中广核技,0.0049813200498132395
000882.SZ,华联股份,0.0372340425531915
000883.SZ,湖北能源,0.015521064301552201
000885.SZ,城发环境,0.009538950715421261
000886.SZ,海南高速,0.0113421550094516
000887.SZ,中鼎股份,0.0229885057471264
000888.SZ,峨眉山A,0.0
000889.SZ,ST中嘉,-0.00515463917525783
000890.SZ,法尔胜,-0.021868787276341898
000892.SZ,欢瑞世纪,-0.00478468899521509
000893.SZ,亚钾国际,0.0613171839515517
000895.SZ,双汇发展,0.0150040551500406
000897.SZ,津滨发展,0.00390624999999995
000898.SZ,鞍钢股份,0.0270270270270271
000899.SZ,赣能股份,-0.0034403669724771503
000900.SZ,现代投资,0.011820330969267202
000901.SZ,航天科技,0.00585937500000004
000902.SZ,新洋丰,0.0223214285714286
000903.SZ,云内动力,0.0118577075098815
000905.SZ,厦门港务,0.0150187734668335
000906.SZ,浙商中拓,0.0162980209545984
000908.SZ,景峰医药,0.0247349823321556
000909.SZ,ST数源,0.00165016501650172
000910.SZ,大亚圣象,0.013398294762484698
000911.SZ,南宁糖业,0.00533617929562454
000912.SZ,泸天化,0.0020833333333333402
000913.SZ,钱江摩托,0.0117164616285882
000915.SZ,华特达因,0.010329424902289198
000917.SZ,电广传媒,0.00454545454545465
000919.SZ,金陵药业,0.010217113665389499
000920.SZ,沃顿科技,0.00411099691675218
000921.SZ,海信家电,-0.0016899028305872
000922.SZ,佳电股份,-0.0105026256564141
000923.SZ,河钢资源,0.0100200400801604
000925.SZ,众合科技,0.0560625814863103
000926.SZ,福星股份,-0.0242990654205608
000927.SZ,中国铁物,0.0140350877192983
000928.SZ,中钢国际,0.0247578040904198
000929.SZ,兰州黄河,0.0179104477611939
000930.SZ,中粮科技,0.006693440428380149
000931.SZ,中关村,0.00829187396351568
000932.SZ,华菱钢铁,0.0349040139616054
000933.SZ,神火股份,0.0272969374167776
000935.SZ,四川双马,0.054311310190369506
000936.SZ,华西股份,-0.00904522613065319
000937.SZ,冀中能源,0.00918836140888188
000938.SZ,紫光股份,-0.0142700329308452
000948.SZ,南天信息,0.00396600566572245
000949.SZ,新乡化纤,0.00898203592814379
000950.SZ,重药控股,0.00803858520900328
000951.SZ,中国重汽,0.030867792661619
000952.SZ,广济药业,0.006435006435006489
000953.SZ,河化股份,0.00714285714285713
000955.SZ,欣龙控股,0.017094017094017
000957.SZ,中通客车,0.0197594501718212
000958.SZ,电投产融,0.022471910112359498
000959.SZ,首钢股份,0.028061224489796102
000960.SZ,锡业股份,0.00438047559449313
000961.SZ,中南建设,0.033492822966507296
000962.SZ,东方钽业,0.011676396997498
000963.SZ,华东医药,0.020317035052467198
000965.SZ,天保基建,0.017777777777777698
000966.SZ,长源电力,0.00373134328358197
000967.SZ,盈峰环境,0.00392156862745112
000968.SZ,蓝焰控股,-0.0012468827930175099
000969.SZ,安泰科技,0.00880088008800882
000970.SZ,中科三环,0.011774600504625601
000971.SZ,ST高升,0.0496894409937887
000972.SZ,中基健康,-0.00271739130434777
000973.SZ,佛塑科技,0.0108225108225109
000975.SZ,银泰黄金,-0.00907029478458062
000976.SZ,ST华铁,0.0
000977.SZ,浪潮信息,0.0443262411347518
000978.SZ,桂林旅游,0.0038167938931296204
000980.SZ,众泰汽车,0.0
000981.SZ,山子股份,-0.0380434782608695
000982.SZ,中银绒业,0.0
000983.SZ,山西焦煤,0.0123318385650224
000985.SZ,大庆华科,0.000612369871402433
000987.SZ,越秀资本,0.062407132243685
000988.SZ,华工科技,-0.014606437652150498
000989.SZ,九芝堂,0.0105863192182411
000990.SZ,诚志股份,0.0036674816625917998
000993.SZ,闽东电力,-0.0231522707034728
000995.SZ,*ST皇台,0.0177409816676523
000996.SZ,*ST中期,0.0064516129032256
000997.SZ,新大陆,0.0184563758389263
000998.SZ,隆平高科,0.024111675126903598
000999.SZ,华润三九,-0.00923432089265102
001201.SZ,东瑞股份,0.00957701516360735
001202.SZ,炬申股份,0.0069400630914828
001203.SZ,大中矿业,0.0171480144404333
001205.SZ,盛航股份,-0.0032863849765259303
001206.SZ,依依股份,0.0172071475843812
001207.SZ,联科科技,0.0006195786864929939
001208.SZ,华菱线缆,-0.0031088082901556202
001209.SZ,洪兴股份,0.0297265160523187
001210.SZ,金房能源,-0.0347192456065152
001211.SZ,双枪科技,0.013771657041315
001212.SZ,中旗新材,0.00226244343891385
001213.SZ,中铁特货,0.011111111111111
001215.SZ,千味央厨,0.00796063106093512
001216.SZ,华瓷股份,0.0163325909428359
001217.SZ,华尔泰,0.00996677740863798
001218.SZ,丽臣实业,-0.0025795356835772
